,Product_Code,Date,Order_Demand
1041269,Product_1891,2016-07-01,4
1029263,Product_1674,2016-07-01,6
895695,Product_0287,2016-07-01,1200
895684,Product_0204,2016-07-01,105
876975,Product_1250,2016-07-01,2000
1028423,Product_1439,2016-07-01,2000
1030894,Product_0934,2016-07-01,2500
982706,Product_1107,2016-07-01,400
903444,Product_0206,2016-07-01,450
895696,Product_2055,2016-07-01,81
1028422,Product_1344,2016-07-01,1000
969206,Product_1752,2016-07-01,2
1041268,Product_0841,2016-07-01,10
1002666,Product_0773,2016-07-01,50
876976,Product_1496,2016-07-01,200
922187,Product_1391,2016-07-01,1000
1032017,Product_1023,2016-07-01,400
969208,Product_1763,2016-07-01,2
864246,Product_1465,2016-07-01,10000
990938,Product_1636,2016-07-01,100
991188,Product_0505,2016-07-01,22
876763,Product_1348,2016-07-01,2000
955285,Product_1269,2016-07-01,25000
874294,Product_0984,2016-07-01,400
873206,Product_0598,2016-07-01,1
895679,Product_0505,2016-07-01,90
935615,Product_1016,2016-07-01,5000
895680,Product_0304,2016-07-01,352
863296,Product_0613,2016-07-01,1
863528,Product_1359,2016-07-01,18000
955291,Product_1479,2016-07-01,10000
876846,Product_0031,2016-07-01,2000
955290,Product_1229,2016-07-01,1000
967224,Product_1381,2016-07-01,100
1010425,Product_0963,2016-07-01,100
945751,Product_1191,2016-07-01,250
863535,Product_1359,2016-07-01,1000
890496,Product_0096,2016-07-01,250
969207,Product_1755,2016-07-01,2
967223,Product_1295,2016-07-01,100
863527,Product_1349,2016-07-01,1000
913907,Product_1274,2016-07-01,3000
955286,Product_1276,2016-07-01,300
904001,Product_1404,2016-07-01,1000
920667,Product_1426,2016-07-01,500
1041427,Product_0901,2016-07-01,200
955263,Product_1360,2016-07-01,1000
864115,Product_1274,2016-07-01,4000
904765,Product_0495,2016-07-01,60
984296,Product_0547,2016-07-01,44
990063,Product_1470,2016-07-01,1000
981970,Product_0213,2016-07-01,40
1001291,Product_1391,2016-07-01,100
1012370,Product_1512,2016-07-01,200
992589,Product_0301,2016-07-01,45
965909,Product_1216,2016-07-01,4000
1029255,Product_1175,2016-07-01,100
965910,Product_1359,2016-07-01,20000
981914,Product_0496,2016-07-01,3
981971,Product_0412,2016-07-01,23
981903,Product_0437,2016-07-01,508
1027402,Product_2002,2016-07-01,200
876649,Product_0071,2016-07-01,5000
984009,Product_1751,2016-07-01,1
890024,Product_0941,2016-07-01,6000
864550,Product_1356,2016-07-01,5000
864549,Product_1213,2016-07-01,1000
864548,Product_1427,2016-07-01,100
981891,Product_1777,2016-07-01,6
1030542,Product_1880,2016-07-01,300
982051,Product_0121,2016-07-01,40
981972,Product_1886,2016-07-01,100
873064,Product_0241,2016-07-01,24
861064,Product_0021,2016-07-01,500
1010920,Product_1213,2016-07-01,100
914877,Product_1381,2016-07-01,5000
1010921,Product_0864,2016-07-01,2
873911,Product_1359,2016-07-01,75000
982642,Product_0495,2016-07-01,6
979108,Product_0979,2016-07-01,1500
979109,Product_0982,2016-07-01,850
873065,Product_0242,2016-07-01,24
979110,Product_0997,2016-07-01,200
904299,Product_1342,2016-07-01,50000
904300,Product_1407,2016-07-01,6000
904301,Product_1432,2016-07-01,20000
873051,Product_0241,2016-07-01,1671
873054,Product_0242,2016-07-01,1270
873062,Product_0215,2016-07-01,101
873063,Product_0217,2016-07-01,59
1001928,Product_0476,2016-07-01,100
956486,Product_1274,2016-07-01,50000
875259,Product_1480,2016-07-01,5000
982052,Product_1891,2016-07-01,10
876650,Product_0083,2016-07-01,3000
895813,Product_0308,2016-07-01,50
1003030,Product_1672,2016-07-01,2
1041863,Product_0021,2016-07-01,1000
1028400,Product_1387,2016-07-01,300
1030151,Product_1669,2016-07-01,50
