Product_Code,Date,Order_Demand
Product_2144,02/10/2016,10
Product_2136,02/10/2016,20
Product_2132,02/10/2016,10
Product_2131,02/10/2016,140
Product_2138,02/10/2016,10
Product_2128,02/10/2016,10
Product_0091,02/10/2016,500
Product_0982,02/10/2016,5000
Product_1526,03/10/2016,20000
Product_1193,03/10/2016,1000
Product_0031,03/10/2016,1000
Product_1212,03/10/2016,200
Product_0723,03/10/2016,50
Product_1455,03/10/2016,1000
Product_0739,03/10/2016,50
Product_0664,03/10/2016,3
Product_0126,03/10/2016,1000
Product_0767,03/10/2016,50
Product_0755,03/10/2016,50
Product_1518,03/10/2016,100
Product_1453,03/10/2016,20000
Product_1382,03/10/2016,20000
Product_1478,03/10/2016,1000
Product_1023,03/10/2016,300
Product_1623,03/10/2016,2000
Product_1532,03/10/2016,75
Product_1281,03/10/2016,1000
Product_0780,03/10/2016,5
Product_1427,03/10/2016,400
Product_1297,03/10/2016,1000
Product_0409,03/10/2016,5
Product_0620,03/10/2016,3
Product_1359,03/10/2016,20000
Product_1250,03/10/2016,800
Product_0407,03/10/2016,250
Product_1308,03/10/2016,400
Product_1350,03/10/2016,36000
Product_1691,03/10/2016,3
Product_1304,03/10/2016,400
Product_0007,03/10/2016,100
Product_1374,03/10/2016,1000
Product_1359,03/10/2016,2000
Product_1032,03/10/2016,500
Product_1526,03/10/2016,2000
Product_1381,03/10/2016,2000
Product_0779,03/10/2016,10
Product_1187,03/10/2016,300
Product_0062,03/10/2016,300
Product_0408,03/10/2016,250
Product_1175,03/10/2016,10
Product_0021,03/10/2016,500
Product_0705,03/10/2016,50
Product_1678,03/10/2016,11
Product_0729,03/10/2016,50
Product_1892,03/10/2016,2
Product_2010,03/10/2016,1000
Product_1295,03/10/2016,20000
Product_1393,03/10/2016,5000
Product_1359,03/10/2016,1000
Product_1410,03/10/2016,200
Product_0031,03/10/2016,100
Product_1450,03/10/2016,2000
Product_0183,03/10/2016,300
Product_0183,03/10/2016,2
Product_1286,03/10/2016,10000
Product_1422,03/10/2016,0
Product_0288,03/10/2016,10
Product_1841,03/10/2016,10000
Product_0011,03/10/2016,100
Product_1555,03/10/2016,10000
Product_1291,03/10/2016,0
Product_1731,03/10/2016,600
Product_1626,03/10/2016,2000
Product_1970,03/10/2016,10000
Product_2067,03/10/2016,10
Product_1841,03/10/2016,3000
Product_1033,03/10/2016,200
Product_0011,03/10/2016,900
Product_0025,03/10/2016,200
Product_1359,03/10/2016,30000
Product_1375,03/10/2016,1000
Product_0107,03/10/2016,5000
Product_1635,03/10/2016,100
Product_1014,03/10/2016,200
Product_1391,03/10/2016,1000
Product_1991,03/10/2016,1500
Product_1977,03/10/2016,5000
Product_0202,03/10/2016,200
Product_1167,03/10/2016,40000
Product_1812,03/10/2016,5000
Product_0288,03/10/2016,760
Product_1966,03/10/2016,100
Product_1250,03/10/2016,100
Product_0643,03/10/2016,0
Product_1440,03/10/2016,1000
Product_1023,03/10/2016,1800
Product_1470,03/10/2016,100
Product_1762,03/10/2016,3
Product_1967,03/10/2016,5000
Product_0173,03/10/2016,10
Product_0095,03/10/2016,1000
Product_0618,03/10/2016,25
Product_1241,03/10/2016,1000
Product_1274,03/10/2016,1000
Product_0124,03/10/2016,7
Product_0613,03/10/2016,10
Product_0327,03/10/2016,1
Product_0410,03/10/2016,5
Product_1287,03/10/2016,10000
Product_1385,03/10/2016,3000
Product_2037,03/10/2016,90
Product_1264,03/10/2016,250000
Product_1152,03/10/2016,35000
Product_1832,03/10/2016,15000
Product_0175,03/10/2016,100
Product_0700,03/10/2016,50
Product_0336,03/10/2016,2
Product_1295,03/10/2016,29000
Product_0664,03/10/2016,2
Product_1453,03/10/2016,1000
Product_0709,03/10/2016,25
Product_0437,03/10/2016,4
Product_1244,03/10/2016,3200
Product_1458,03/10/2016,1200
Product_1377,03/10/2016,4900
Product_0332,03/10/2016,8
Product_0349,03/10/2016,4
Product_1803,03/10/2016,1
Product_1907,03/10/2016,100
Product_2001,03/10/2016,100
Product_1196,03/10/2016,300
Product_1635,03/10/2016,3000
Product_1997,03/10/2016,2000
Product_1401,03/10/2016,10000
Product_2006,03/10/2016,1300
Product_1219,03/10/2016,1000
Product_2006,03/10/2016,100
Product_1377,03/10/2016,700
Product_1458,03/10/2016,600
Product_0973,03/10/2016,100
Product_0342,03/10/2016,6
Product_1287,03/10/2016,5000
Product_0349,03/10/2016,40
Product_0613,03/10/2016,1
Product_1209,03/10/2016,400
Product_1430,03/10/2016,4600
Product_0213,03/10/2016,50
Product_1233,03/10/2016,200000
Product_1294,03/10/2016,10000
Product_0184,03/10/2016,340
Product_1401,03/10/2016,900
Product_1148,03/10/2016,5000
Product_1244,03/10/2016,400
Product_0286,03/10/2016,10
Product_0979,03/10/2016,100
Product_2001,03/10/2016,200
Product_1969,03/10/2016,100
Product_1030,03/10/2016,100
Product_0973,03/10/2016,300
Product_0495,03/10/2016,20
Product_1825,03/10/2016,2500
Product_1817,03/10/2016,2500
Product_0286,03/10/2016,60
Product_1754,03/10/2016,3
Product_0981,03/10/2016,500
Product_1016,03/10/2016,100
Product_1274,03/10/2016,2000
Product_0335,03/10/2016,50
Product_0841,03/10/2016,1000
Product_0284,03/10/2016,10
Product_1241,03/10/2016,20000
Product_1762,03/10/2016,2
Product_1460,03/10/2016,50
Product_1213,03/10/2016,100
Product_1518,03/10/2016,300
Product_1391,03/10/2016,300
Product_1969,03/10/2016,1200
Product_0613,03/10/2016,40
Product_2004,03/10/2016,3000
Product_0087,03/10/2016,300
Product_0322,03/10/2016,2
Product_1451,03/10/2016,2000
Product_1455,03/10/2016,2500
Product_1969,03/10/2016,200
Product_1359,03/10/2016,15000
Product_1274,03/10/2016,3000
Product_2168,03/10/2016,10
Product_0928,03/10/2016,1000
Product_0984,03/10/2016,100
Product_0211,03/10/2016,2
Product_0609,03/10/2016,1
Product_0613,03/10/2016,5
Product_0110,03/10/2016,18
Product_0582,03/10/2016,18
Product_0779,03/10/2016,5
Product_1974,03/10/2016,1
Product_1975,03/10/2016,1
Product_1921,03/10/2016,1
Product_0712,03/10/2016,2
Product_0424,03/10/2016,10000
Product_0692,03/10/2016,10
Product_0711,03/10/2016,5
Product_0796,03/10/2016,10
Product_0792,03/10/2016,10
Product_1540,03/10/2016,100
Product_1383,03/10/2016,1000
Product_0021,03/10/2016,5000
Product_1965,03/10/2016,1
Product_1452,03/10/2016,10000
Product_0645,03/10/2016,2
Product_1378,03/10/2016,3000
Product_0756,03/10/2016,25
Product_0729,03/10/2016,25
Product_1825,03/10/2016,100000
Product_1106,03/10/2016,3000
Product_0785,03/10/2016,5
Product_1371,03/10/2016,300
Product_0407,03/10/2016,1000
Product_1222,03/10/2016,20000
Product_1295,03/10/2016,50000
Product_1382,03/10/2016,30000
Product_0784,03/10/2016,5
Product_1823,03/10/2016,5000
Product_0793,03/10/2016,10
Product_0664,03/10/2016,10
Product_1262,03/10/2016,2000
Product_0215,03/10/2016,500
Product_1407,03/10/2016,300000
Product_0033,03/10/2016,500
Product_0311,03/10/2016,144
Product_2167,03/10/2016,32
Product_1970,03/10/2016,5000
Product_0312,03/10/2016,13
Product_1344,03/10/2016,1000
Product_0140,03/10/2016,72
Product_1439,03/10/2016,1000
Product_1699,03/10/2016,2
Product_0936,03/10/2016,2500
Product_0029,03/10/2016,50
Product_2138,03/10/2016,50
Product_1447,03/10/2016,3000
Product_2167,03/10/2016,300
Product_1158,03/10/2016,5000
Product_1710,03/10/2016,3
Product_0794,03/10/2016,5
Product_0795,03/10/2016,10
Product_0622,03/10/2016,2
Product_1709,03/10/2016,2
Product_1554,03/10/2016,6000
Product_1382,03/10/2016,15000
Product_1262,03/10/2016,20000
Product_1287,03/10/2016,30000
Product_0244,03/10/2016,20
Product_1825,03/10/2016,2500
Product_0275,03/10/2016,200
Product_1891,03/10/2016,100
Product_0325,03/10/2016,30
Product_1017,03/10/2016,50
Product_0018,03/10/2016,1500
Product_0023,03/10/2016,600
Product_1355,03/10/2016,11000
Product_1477,03/10/2016,500
Product_1295,03/10/2016,11000
Product_0713,03/10/2016,5
Product_0901,03/10/2016,50
Product_1153,03/10/2016,65000
Product_1016,03/10/2016,500
Product_1279,03/10/2016,5000
Product_0025,03/10/2016,100
Product_1360,03/10/2016,3000
Product_2038,03/10/2016,1
Product_0139,03/10/2016,10
Product_0109,03/10/2016,10000
Product_0753,03/10/2016,10
Product_0749,03/10/2016,10
Product_0802,03/10/2016,5
Product_0716,03/10/2016,5
Product_0715,03/10/2016,5
Product_0453,03/10/2016,30
Product_1427,03/10/2016,1000
Product_0627,03/10/2016,3
Product_0714,03/10/2016,5
Product_0738,03/10/2016,5
Product_1191,03/10/2016,1750
Product_1191,03/10/2016,250
Product_1017,03/10/2016,2500
Product_1658,03/10/2016,12
Product_0021,03/10/2016,2000
Product_1463,03/10/2016,1000
Product_1512,03/10/2016,1000
Product_1540,03/10/2016,400
Product_2169,03/10/2016,1
