,Product_Code,Date,Order_Demand
970172,Product_2144,2016-10-02,10
970170,Product_2136,2016-10-02,20
970169,Product_2132,2016-10-02,10
970168,Product_2131,2016-10-02,140
970171,Product_2138,2016-10-02,10
970167,Product_2128,2016-10-02,10
899710,Product_0091,2016-10-02,500
899913,Product_0982,2016-10-02,5000
883330,Product_1526,2016-10-03,20000
1014314,Product_1193,2016-10-03,1000
876866,Product_0031,2016-10-03,1000
1021835,Product_1212,2016-10-03,200
942278,Product_0723,2016-10-03,50
883168,Product_1455,2016-10-03,1000
942279,Product_0739,2016-10-03,50
1000440,Product_0664,2016-10-03,3
1036581,Product_0126,2016-10-03,1000
942281,Product_0767,2016-10-03,50
942280,Product_0755,2016-10-03,50
891634,Product_1518,2016-10-03,100
914404,Product_1453,2016-10-03,20000
914403,Product_1382,2016-10-03,20000
936880,Product_1478,2016-10-03,1000
942334,Product_1023,2016-10-03,300
955790,Product_1623,2016-10-03,2000
891160,Product_1532,2016-10-03,75
955789,Product_1281,2016-10-03,1000
942182,Product_0780,2016-10-03,5
891633,Product_1427,2016-10-03,400
936881,Product_1297,2016-10-03,1000
1015879,Product_0409,2016-10-03,5
951875,Product_0620,2016-10-03,3
1046514,Product_1359,2016-10-03,20000
868863,Product_1250,2016-10-03,800
1015877,Product_0407,2016-10-03,250
936879,Product_1308,2016-10-03,400
955658,Product_1350,2016-10-03,36000
1002799,Product_1691,2016-10-03,3
936878,Product_1304,2016-10-03,400
1045652,Product_0007,2016-10-03,100
1031716,Product_1374,2016-10-03,1000
883166,Product_1359,2016-10-03,2000
1046232,Product_1032,2016-10-03,500
883399,Product_1526,2016-10-03,2000
883167,Product_1381,2016-10-03,2000
942282,Product_0779,2016-10-03,10
936877,Product_1187,2016-10-03,300
936876,Product_0062,2016-10-03,300
1015878,Product_0408,2016-10-03,250
1036682,Product_1175,2016-10-03,10
883343,Product_0021,2016-10-03,500
942277,Product_0705,2016-10-03,50
1021669,Product_1678,2016-10-03,11
942183,Product_0729,2016-10-03,50
1047192,Product_1892,2016-10-03,2
964919,Product_2010,2016-10-03,1000
944326,Product_1295,2016-10-03,20000
891710,Product_1393,2016-10-03,5000
884742,Product_1359,2016-10-03,1000
868864,Product_1410,2016-10-03,200
960555,Product_0031,2016-10-03,100
868852,Product_1450,2016-10-03,2000
972486,Product_0183,2016-10-03,300
972485,Product_0183,2016-10-03,2
889504,Product_1286,2016-10-03,10000
990614,Product_1422,2016-10-03,0
1020453,Product_0288,2016-10-03,10
884816,Product_1841,2016-10-03,10000
960565,Product_0011,2016-10-03,100
858319,Product_1555,2016-10-03,10000
990613,Product_1291,2016-10-03,0
960660,Product_1731,2016-10-03,600
955782,Product_1626,2016-10-03,2000
876791,Product_1970,2016-10-03,10000
1003300,Product_2067,2016-10-03,10
884752,Product_1841,2016-10-03,3000
1046233,Product_1033,2016-10-03,200
960566,Product_0011,2016-10-03,900
891002,Product_0025,2016-10-03,200
892848,Product_1359,2016-10-03,30000
867970,Product_1375,2016-10-03,1000
884773,Product_0107,2016-10-03,5000
1002538,Product_1635,2016-10-03,100
964920,Product_1014,2016-10-03,200
858991,Product_1391,2016-10-03,1000
964918,Product_1991,2016-10-03,1500
861933,Product_1977,2016-10-03,5000
903722,Product_0202,2016-10-03,200
889473,Product_1167,2016-10-03,40000
1046297,Product_1812,2016-10-03,5000
903539,Product_0288,2016-10-03,760
944459,Product_1966,2016-10-03,100
868856,Product_1250,2016-10-03,100
990877,Product_0643,2016-10-03,0
1003043,Product_1440,2016-10-03,1000
903496,Product_1023,2016-10-03,1800
868873,Product_1470,2016-10-03,100
1013952,Product_1762,2016-10-03,3
876808,Product_1967,2016-10-03,5000
1020452,Product_0173,2016-10-03,10
863125,Product_0095,2016-10-03,1000
1029737,Product_0618,2016-10-03,25
1000410,Product_1241,2016-10-03,1000
884741,Product_1274,2016-10-03,1000
