Product_Code,Date,Order_Demand
Product_1891,01/07/2016,4
Product_1674,01/07/2016,6
Product_0287,01/07/2016,1200
Product_0204,01/07/2016,105
Product_1250,01/07/2016,2000
Product_1439,01/07/2016,2000
Product_0934,01/07/2016,2500
Product_1107,01/07/2016,400
Product_0206,01/07/2016,450
Product_2055,01/07/2016,81
Product_1344,01/07/2016,1000
Product_1752,01/07/2016,2
Product_0841,01/07/2016,10
Product_0773,01/07/2016,50
Product_1496,01/07/2016,200
Product_1391,01/07/2016,1000
Product_1023,01/07/2016,400
Product_1763,01/07/2016,2
Product_1465,01/07/2016,10000
Product_1636,01/07/2016,100
Product_0505,01/07/2016,22
Product_1348,01/07/2016,2000
Product_1269,01/07/2016,25000
Product_0984,01/07/2016,400
Product_0598,01/07/2016,1
Product_0505,01/07/2016,90
Product_1016,01/07/2016,5000
Product_0304,01/07/2016,352
Product_0613,01/07/2016,1
Product_1359,01/07/2016,18000
Product_1479,01/07/2016,10000
Product_0031,01/07/2016,2000
Product_1229,01/07/2016,1000
Product_1381,01/07/2016,100
Product_0963,01/07/2016,100
Product_1191,01/07/2016,250
Product_1359,01/07/2016,1000
Product_0096,01/07/2016,250
Product_1755,01/07/2016,2
Product_1295,01/07/2016,100
Product_1349,01/07/2016,1000
Product_1274,01/07/2016,3000
Product_1276,01/07/2016,300
Product_1404,01/07/2016,1000
Product_1426,01/07/2016,500
Product_0901,01/07/2016,200
Product_1360,01/07/2016,1000
Product_1274,01/07/2016,4000
Product_0495,01/07/2016,60
Product_0547,01/07/2016,44
Product_1470,01/07/2016,1000
Product_0213,01/07/2016,40
Product_1391,01/07/2016,100
Product_1512,01/07/2016,200
Product_0301,01/07/2016,45
Product_1216,01/07/2016,4000
Product_1175,01/07/2016,100
Product_1359,01/07/2016,20000
Product_0496,01/07/2016,3
Product_0412,01/07/2016,23
Product_0437,01/07/2016,508
Product_2002,01/07/2016,200
Product_0071,01/07/2016,5000
Product_1751,01/07/2016,1
Product_0941,01/07/2016,6000
Product_1356,01/07/2016,5000
Product_1213,01/07/2016,1000
Product_1427,01/07/2016,100
Product_1777,01/07/2016,6
Product_1880,01/07/2016,300
